,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,0,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,244,223,199,176,145,115,86,61,45,33,30,26,25,24,21,17,11,7,4,2,1,1,1,1,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,16,32,51,71,99,133,168,200,230,253,253,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,227,141,125,178,253,253,253,253,253,253,253,253,253,191
1,0,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,221,168,132,115,101,91,78,63,48,34,22,15,11,9,8,7,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,16,58,120,166,210,253,253,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,249,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,177,72,16,0,6,22,37,43,42,35,30,30,36,45
2,13,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,182,137,115,104,98,89,73,51,36,22,14,10,10,13,13,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,7,9,9,10,11,12,14,17,20,20,17,14,30,80,135,88,102,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253
3,9,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,222,167,139,130,120,112,103,87,66,45,29,16,9,6,6,6,6,6,5,5,4,4,4,4,4,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,13,27,44,56,72,118,189,222,253,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,28,160,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,114,27,21,27,24,23,22,28,44,67,85
4,0,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,209,156,119,94,80,72,67,60,52,42,32,23,15,11,8,7,7,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,33,136,253,253,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,10,253,253,253,253,253,253,253,253,105,13,0,7,7,1,0,19,61,108,145,164,179,193,228,253,253,253,253,253,253,166,94,46,19,6,0,0,1,2,4,7,11,19,29,40,49
5,2,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,250,235,219,198,168,134,99,70,49,34,26,22,21,19,18,16,12,8,5,3,1,1,2,2,2,1,1,1,1,1,2,2,3,3,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,6,10,14,10,0,12,115,253,253,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,188,253,253,253,253,253,253,103,16,137,253,253,253,253,253,253,253,253,253,253,253,189,67,16,6,11,35,117,253,253,253,253,253,253,253,253,253,244,91,25,26,60,95
6,1,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,245,191,156,140,130,123,111,94,76,55,39,26,18,13,12,11,11,10,8,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,21,42,55,53,32,66,253,253,253,255,253,253,253,253,253,253,253,253,253,32,253,253,253,253,253,253,253,253,253,253,253,253,184,128,224,253,253,253,253,253,207,79,24,49,132,223,253,253,253,238,180,139,117,105,91,76,61,50,46,38,28,21,19,21,25,30,39,48,58,68,80,90,93,93,87
7,0,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,202,161,137,124,112,100,82,63,48,33,23,16,14,13,11,10,8,6,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,8,8,7,6,5,4,3,2,2,2,3,8,16,28,41,55,77,129,253,253,253,253,253,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,192,163,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,214,160,78,34,9,0,0,10,34,76,138,199,229,203,143,93,80,95,110,103,76,43
8,2,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,240,220,200,174,146,113,84,55,41,32,28,26,22,17,13,9,6,3,2,2,2,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,18,29,36,38,32,23,14,9,6,2,1,2,7,16,28,37,37,38,70,202,253,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,73,79,253,253,253,253,253,253,253,209,118,27,2,0,7,24,54,105,177,253,253,253,253,253,253,253,253,253,241,139,74,41,23,18,17,16,16,17,17,13
9,0,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,239,180,135,104,83,73,67,62,54,45,36,27,19,13,10,8,7,6,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,31,40,44,40,32,21,13,7,4,2,2,2,2,5,12,26,56,111,204,253,253,253,253,253,253,253,255,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,136,84,111,189,241,253,253,232,181,134,92,56,27,11,10,24,44,60,77,91,103,115,119,107,79,51,29,14,6,5,8,14,26,43,67,93,118,134,139,135,122,103
